"Anxiety1: by counties, local and unitary authorities; 2011/12  – 2015/162",,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,Back to contents,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Adults aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,
,,Average (mean) ratings,,,,,,,,,,,,,,,,,,,,,,
,,2011/12,2012/13,2013/14,2014/15,2015/16,,,,,,,,,,,,,,,,,,
Area Codes,Area Names ,,,,,,,,,,,,,,,,,,,,,,,
E06000021,Stoke-on-Trent,3.08,2.93,2.98,2.71,2.80,,,,,,,,,,,,,,,,,,
E06000020,Telford and Wrekin,3.27,2.94,2.87,2.76,2.91,,,,,,,,,,,,,,,,,,
E10000028,Staffordshire,2.97,2.84,2.76,2.62,2.67,,,,,,,,,,,,,,,,,,
E07000192,Cannock Chase,2.87,2.96,3.02,2.71,2.97,,,,,,,,,,,,,,,,,,
E07000193,East Staffordshire,3.05,3.02,3.36,2.36,2.29,,,,,,,,,,,,,,,,,,
E07000194,Lichfield,2.97,2.94,2.79,2.68,2.56,,,,,,,,,,,,,,,,,,
E07000195,Newcastle-under-Lyme,3.21,3.02,3.02,3.21,2.64,,,,,,,,,,,,,,,,,,
E07000196,South Staffordshire,3.00,2.81,2.03,2.63,2.77,,,,,,,,,,,,,,,,,,
E07000197,Stafford,2.99,2.53,3.12,2.42,2.76,,,,,,,,,,,,,,,,,,
E07000198,Staffordshire Moorlands,2.82,3.03,2.00,2.47,2.77,,,,,,,,,,,,,,,,,,
E07000199,Tamworth,2.70,2.34,2.56,2.36,2.65,,,,,,,,,,,,,,,,,,
E10000031,Warwickshire,3.05,2.65,2.45,2.23,2.53,,,,,,,,,,,,,,,,,,
E07000218,North Warwickshire,3.55,2.63,2.80,2.56,2.18,,,,,,,,,,,,,,,,,,
E07000219,Nuneaton and Bedworth,3.16,3.09,3.13,1.83,2.87,,,,,,,,,,,,,,,,,,
E07000220,Rugby,2.88,2.30,2.31,2.40,1.99,,,,,,,,,,,,,,,,,,
E07000221,Stratford-on-Avon,3.09,2.41,2.50,2.23,2.67,,,,,,,,,,,,,,,,,,
E07000222,Warwick,2.81,2.72,1.75,2.31,2.66,,,,,,,,,,,,,,,,,,
E08000025,Birmingham,3.21,3.11,2.78,2.68,2.87,,,,,,,,,,,,,,,,,,
E08000026,Coventry,3.01,2.92,2.69,2.48,2.53,,,,,,,,,,,,,,,,,,
E08000027,Dudley ,3.00,2.97,2.64,2.62,2.89,,,,,,,,,,,,,,,,,,
E08000028,Sandwell ,3.03,2.82,2.78,2.92,2.78,,,,,,,,,,,,,,,,,,
E08000029,Solihull,3.15,2.90,2.96,2.63,2.88,,,,,,,,,,,,,,,,,,
E08000030,Walsall,3.15,2.78,2.77,2.77,2.85,,,,,,,,,,,,,,,,,,
E08000031,Wolverhampton,2.44,1.92,1.78,2.48,2.54,,,,,,,,,,,,,,,,,,
E10000034,Worcestershire,3.00,2.76,2.43,2.78,2.79,,,,,,,,,,,,,,,,,,
E07000234,Bromsgrove,3.13,2.72,3.14,3.20,3.14,,,,,,,,,,,,,,,,,,
E07000235,Malvern Hills,3.09,2.59,2.50,2.90,2.36,,,,,,,,,,,,,,,,,,
E07000236,Redditch,3.05,2.85,2.04,2.40,2.86,,,,,,,,,,,,,,,,,,
E07000237,Worcester,3.27,2.77,2.13,2.79,3.14,,,,,,,,,,,,,,,,,,
E07000238,Wychavon,2.79,2.52,2.43,2.50,2.36,,,,,,,,,,,,,,,,,,
